;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10226;오스트리아의 지배에서 자유로워졌습니다! 기쁨에 취한 주민들이 $CAPITAL$에 모였습니다!;We have won our freedom from Austrian rule! The people have gathered in $CAPITAL$ in jubilation!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME10227;헝가리 문제;The Hungarian Question;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10227;헝가리의 영토는 정당한 우리 영토입니다. 그들이 새로 발견한 자유에 대해 헝가리에 대한 영유권을 유지해야 할지 아니면 헝가리 정부와 화해해야 할지에 대한 결정만이 남았습니다. 그들과 적대적인 상태에서 국력이 역전된다면, 그들은 국경 밖의 매우 위험한 적이 될 것입니다. 하지만 헝가리 상실에 대한 공인은 우리 위신에 결코 회복하지 못할 타격을 줄 수도 있습니다.;Hungarian lands rightfully belong to us. With their new-found freedom, we are left with the decision whether we should pursue our claim to their lands or instead try to reconcile with the Hungarian government. If they remain hostile, after all, and we are unable to defeat them, they will become a very dangerous enemy on our border. Admitting their loss, however, might be a blow to our prestige we will never recover from.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
EVTNAME10228;입헌개혁;Constitutional Reform;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10228;온 국민이 군주를 타도할 준비를 마친 가운데 장관들이 왕에게 다가가 더 늦기 전에 입헌개혁을 시행해야 한다고 조언했습니다. 애초에 벨기에의 손실로 인해 개정이 필요했습니다. 하원의원 직선제 조항과 네덜란드인들이 지금껏 누리지 못한 수많은 자유를 포함한 헌법을 반포하면 자유주의자들을 진정시킬 수 있습니다.;With the entire nation ready to overthrow the monarchy, ministers have approached the King with advice on reforming the constitution before it's too late. The loss of Belgium has made a revision necessary already. Including provisions that permitted the direct election of the lower house as well as numerous freedoms the Dutch do not already enjoy might pacify the liberals.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME10229;개헌 봉기;The $COUNTRY$ Uprising;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10229;개헌을 요구하는 국민들이 당장이라도 문을 무너뜨릴 태세입니다. 지금이라도 원하는대로 해주는 방안을 고려해야 하지 않을까요? 일부 온건한 개혁을 통해 대중들에게 투표권을 허용하면서도, 최고 권력은 귀족과 황제가 유지하는 방식을 통해 현재의 광포함을 떨쳐버릴 만큼 국민들을 기쁘게 해야 합니다... 당장은 말입니다.;With the people seemingly ready to break down our doors, demanding constitutional reform, perhaps we should consider giving it to them? Some moderate reforms, allowing the masses their vote but retaining ultimate power for the $COUNTRY$ aristocracy and the Kaiser, should please them enough to dispel this rabble... for now.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME10400;프랑스 혁명($YEAR$);The French Revolution of $YEAR$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10400;최근 파리 거리에서 군중들이 쏟아져나와 바리케이드를 세우는 등 소요가 최고조에 달했습니다. 널리 알려졌듯이 프랑스 경비대원들이 시민들에게 사향총을 발사하고 대학살을 시작했습니다. 이윽고 '개혁 만세!'와 '국왕 타도!'를 외치는 군중들이 도시를 휩쓸었습니다. 국왕은 모든 것을 통제하리라는 보장이 있음에도 퇴위 후 국외로 도망쳤습니다. 국왕이 사라지자 프랑스 국민들은 임시정부를 거쳐 제2공화국을 선포했습니다.\n\n 이제 대통령 선거를 시작으로 새 정부를 수립해야 하는 과제가 생겼습니다. 항간에는 대중들 사이에서의 루이나폴레옹 보나파르트의 인기, 보편투표권 부여 논란 등을 고려하면 사실상 그가 주도권을 쥐는 것이 아니냐는 의견이 있습니다. 만약 그가 대통령에 오른다면, 그것이 프랑스에게 어떤 의미일지 누가 알까요?;The unrest in France hit its height recently, with crowds streaming through the streets of Paris and erecting barricades. In what was widely regarded as an accident, a French guardsmen fired his musket on the citizens and set off a massacre. The resulting conflagration has swept the city, with crowds chanting 'Long live the Reform!' and 'Down with the King!'. Despite assurances that everything is under control, the king has abdicated and fled the country?leaving a provisional government to step in and declare the Second Republic. \n \n Now we have the task of building this new government, starting with a presidential election to determine its new Head of State. Considering the popularity ofLouis-Napoleon Bonapartete among the masses, and the granting of universal voting rights, some are say that he may in fact take the leadership. If he does, who knows what this may mean for France?;;;;;;;;;;;;x,,,,,,,,,,,,,,
EVTNAME10401;대통령 선거;The Presidential Election;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10401;루이나폴레옹 보나파르트가 프랑스 대선에서 선전할 것으로는 다들 예상했지만, 이만큼 잘할거라 예상한 사람은 없었을 것입니다. 그는 독재적인 성향과 파리에서의 동맹세력 부족에도 불구하고 그는 모든이들, 심지어 오를레앙 왕가 지지자들의 지지를 받기도 했습니다. 임시정부의 루이-외젠 카베냑 후보는 파리에서 일어난 봉기의 진압을 주도했고, 이는 나폴레옹의 압승을 이끈 대중들 사이에서 분노를 불러일으켰습니다. 많은이들이 루이나폴리옹이 악명높은 삼촌 나폴레옹을 닮아가는 것을 두려워했습니다. 급기야는 카베냑을 이기도록 선거를 조작하려는 움직임까지 생겨났습니다. 이는 보편선거권 제한 뿐만 아니라 신문 및 정치적 반대자들의 숙청을 요구합니다. 어느 쪽이든 제2공화국의 이상은 타협의 위험에 처했습니다.;While it was expected that Louis-Napoleon Bonaparte would do well in the French presidential election, no one could have counted on the fact that he has done as well as this. Despite his autocratic leanings and lack of allies in Paris, he has managed to be something to everyone?even gaining the sponsorship of the Orleanists. The provisional government's candidate, Louis-Eug?e Cavaignac, led the effort to quell an uprising in the city -- leading to resentment among the masses which has translated into Napoleon's landslide. Many fear the man takes too much after his infamous uncle, and thus the idea has arisen of fixing the elections to ensure Cavaignac's victory. This would require us to restrict universal suffrage, as well as muffle the newspapers and political opponents. Either way, the ideals of the Second Republic seem at risk of compromise.;;;;;;;;;;;;x,,,,,,,,,,,,,,,
EVTNAME10402;루이나폴레옹의 선거 승리!;Napoleon Wins Election!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10402;루이나폴레옹 보나파르트가 프랑스의 새 국가원수로 집권했습니다. 그는 악명높은 나폴레옹의 유산을 이용해 대중의 지지를 얻었습니다. 하지만, 그는 파리에 친구가 없으며, 대부분은 그가 삼촌의 뒤를 따르기로 결정할 가능성에 대해 불안해하고 있습니다.;Louis-Napoleon Bonapartee has swept into power as France's new Head of State. The man carries with him the legacy of his infamous uncle, and with it the support of the masses. He has no friends in Paris, however, almost all of whom are nervous of the possibility that he might decide to follow in his uncle's footsteps.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME10405;루이나폴레옹의 정변;Louis-Napoleon's Coup d'Etat;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10405;상원에게 대통령 재선 금지를 철회하라고 강요할 수 없어 위기에 직면했던 루이나폴레옹이 정변을 일으켜 프랑스 정부를 전복했습니다. 군대의 충성파들은 파리의 전략지점을 봉쇄했고, 국회를 해산해 루이나폴레옹을 모두가 인정하는 황제로 추대했습니다. 그는 나폴레옹 3세로 즉위해 프랑스의 황제로서 삼촌의 왕위를 되찾았습니다. 유럽 전역의 각국은 옛 나폴레옹의 부활을 우려하며 이 소식에 부정적인 반응을 보였습니다. 심지어 러시아 황제마저 '황제는 국민투표로 선출하는 것이 아닌 신께서 점지하는 것'이라며 루이나폴레옹을 황제로 인정하기를 거부했습니다.;Unable to force the Upper House to repeal its prohibition against presidential re-election and facing removal from power, the popular Louis-Napoleon has launched a coup d'etat and overthrown the French government. Loyal members of the army have locked down strategic locations in Paris, and the Assembl? Nationale has been dissolved, leaving Louis-Napoleon as the undisputed ruler of the country. He has been christened Napol?n III, regaining his uncle's throne as the Emperor of France. All around Europe, countries are reacting to the news negatively, fearing a revival of the old Napoleonic goals. Even in Russia the ruler refuses to recognize the new Napoleon as emperor on the grounds that 'emperors are made by God, not elected by referendum.';;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME10410;나폴레옹 황제 퇴위;Emperor Napoleon Deposed;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10410;루이나폴레옹의 인기는 추락했습니다. 한때 국민들은 그의 즉위가 프랑스를 삼촌(나폴레옹 1세)의 통치기간만큼 위대하게 되돌릴 것이라 여겼으나, 프랑스는 이웃 국가들에게 철저히 가려졌습니다. 황제는 파리의 자유주의자들 사이에서 많은 적들을 키워왔고, 이제 그들은 황제를 공격하기로 선택했습니다. 나폴레옹은 물러났고, 이제 프랑스가 어떤 형태를 취할 것인가에 대한 의문점만이 남았습니다. 샹보르 백작 휘하의 부르봉 왕조를 복원할까요? 콤테 드 파리 휘하의 부르봉 입헌군주제를 선출할까요? 아니면 제3공화국을 창설하는 쪽을 선택할까요?;The popularity of Louis-Napoleon has waned. Where once it was expected that his ascension would return France to the greatness it experienced during the reign of his uncle, instead France sees itself being eclipsed by its neighbors. The Emperor has cultivated many enemies among the liberals in Paris, and now they have chosen their moment to strike. Napoleon has been deposed, and the only question remains as to what form France shall now take. Shall we restore the Bourbon dynasty under the Count of Chambord, elect for a Bourbon constitutional monarchy under the Comte de Paris, or instead opt to create the Third Republic?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,
EVTNAME10411;루이나폴레옹 타계;The Death of Napoleon;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10411;루이나폴레옹은 최근 몇달 동안 병을 얻었습니다. 이후 서서히 상원에 점점 더 많은 권력을 양보했습니다. 따라서 그의 죽음은 많은 사람들에게 놀라운 일이 아니었습니다. 온 나라와 유제니 황후는 슬픔에 잠겼으며, 누가 그의 후계를 이을지를 궁금해했습니다. 그의 아들이자 후계자는 나폴레옹 4세일 것입니다. 하지만 그는 아직 자신에게 남겨진 유산에 부응하기 위해 열심인 젊은 남자일 뿐입니다. 다른이들은 인기있는 파리의 부르봉 백작을 후계로서 선호합니다. 한편 일각에서는 지금이야말로 공화국을 회복하고 왕정을 완전히 종식할 완벽한 순간이라고 주장합니다.;Louis-Napoleon has grown ill in recent months, slowly surrendering more and more ground to the Upper House. Thus his death comes with no surprise to many. Mourned by the entire nation, and by his beloved Empress Eug?ie, the question now turns to who will follow him. His son and heir would be Napoleon IV?but he is still a young man, eager to live up to the legacy left him. Others favor the popular Bourbon Count of Paris. Still more, however, claim this is the perfect moment to restore the republic and end the monarchy once and for all.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
EVTNAME11100_NEW;$CULTURE_GROUP_UNION$ 통일;The Unification of $CULTURE_GROUP_UNION$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC11100_NEW;$CULTURE_GROUP_UNION$ 내의 자유주의적, 민족주의적 물결이 퍼지면서 $COUNTRY$을(를) 맹주로 하는 $CULTUREGROUP$ 연합에 대한 발상이 대두했습니다. 자유주의 혁명가들은 회의를 소집해 $CULTURE_GROUP_UNION$ 지역의 대표들은 하나의 국가 아래 단결하는 것이 옳다고 판결했습니다. 그리고 그 회의가 우리에게 $CULTURE_GROUP_UNION$의 왕관을 제안했습니다. 이 제안을 받아들일 수는 있지만, 국제적으로 경종을 울릴 것이며 혁명가들은 정치적 보상을 요구할 것입니다.;A rising tide of liberal nationalism within $CULTURE_GROUP_UNION$ has begun to spread, raising the idea of a $UNION_ADJ$ union with $COUNTRY$ at its head. A parliament of liberal revolutionaries has been convened, with representatives from throughout $UNION_ADJ$ lands, which has decreed the time is right for the nation to unite under one banner. The parliament has offered the crown of $CULTURE_GROUP_UNION$ to us. We could accept the offer, but doing so would cause international alarm, and require us to compensate the revolutionaries politically.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME11104;$FROMCOUNTRY$ 혁명!;Revolution in $FROMCOUNTRY$!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC11104;$FROMCOUNTRY$에서 친$CULTURE_GROUP_UNION$ 혁명이 발생했습니다. $FROMCOUNTRY$ 자유당 지도부가 밝히기를 '지금이 $COUNTRY$이(가) $CULTURE_GROUP_UNION$을(를) 통합하기에 가장 적기라고 생각하며, 따라서 연합의 준비를 할 때까지 $COUNTRY$을(를) 지원하겠다'고 맹세했습니다.;A pro-$UNION$ revolution has taken hold in $FROMCOUNTRY$. Its liberal leaders believe that $COUNTRY$ is the nation best-suited to unite all of $CULTURE_GROUP_UNION$, and thus have sworn to support us until the union is ready to occur.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME11106;$FROMCOUNTRY$의 대독일 제안;The $FROMCOUNTRY$ Proposal;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC11106;$MONARCHTITLE$, $FROMCOUNTRY$ 대사가 최근 독일 혁명가들의 의회 소식을 전했습니다. $FROMCOUNTRY$은(는) 독일 연방 결성에 동의하는 등, 결국 대독일 결성의 목표를 가지고 있습니다. 만약 우리가 동의하지 않는다면, 그들은 우리 땅을 강제로 빼앗으려고 할 가능성이 있습니다.;$MONARCHTITLE$, the $FROMCOUNTRY$ ambassador has presented us with news from the recent parliament of German revolutionaries. $FROMCOUNTRY$ has agreed to assemble a federation of German states, with the goal of eventually forming a greater Germany. If we do not agree,it is possible that $FROMCOUNTRY$ will attempt to take our lands by force.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
