CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
AT_WAR_TENSION_DECAY;$COUNTRY$ 전시 상황: 쬨$VAL$쬦;$COUNTRY$ is at war: 쬨$VAL$쬦;$COUNTRY$ befindet sich im Krieg: 쬨$VAL$쬦;;;;;;;;;;x;;;;;;;;;;;;;;;;
BRIGADES_COMPARE_GREATER;두 국가의 여단 수 차이 > 쬨$VAL$쬦\n;Brigades comparison factor of two countries is at least 쬨$VAL$쬦;;;;;;;;;x;;;;;;;;;;;;;;;;;;;
BRIGADES_COMPARE_SMALLER;두 국가의 여단 수 차이 < 쬨$VAL$쬦\n;Brigades comparison factor of two countries is less than 쬨$VAL$쬦;;;;;;;;;x;;;;;;;;;;;;;;;;;;;
CB_TOWARDS_US_DETECTED_3;쬨$CASUS$쬦 전쟁명분;쬨$CASUS$쬦 Casus Belli;Casus Belli 쬨$CASUS$쬦mithilfe des 쬨$CASUS$쬦 Casus Belli;;;;;;;;;;;x;;;;;;;;;;;;;;;;
ADDTOSPHERE_BUTTON;영향권 편입;Add to Sphere;Ajouter 쬦la sph쬦e;Zu Sph쬦e hinzuf쬦en;;A쬦dir a esfera;;;;;;;;;x;;;;;;;;;;;;;;;;
ADDTOSPHERE_DESC;이 국가를 영향권에 편입합니다.;Adds this country to our Sphere of Influence.;Ajoute ce pays dans notre sph쬦e d'influence.;F쬦t dieses Land unserer Einflusssph쬦e hinzu.;;A쬦de este pa쬦 a nuestra esfera de influencia.;;;;;;;;;x;;;;;;;;;;;;;;;;
ADDTOSPHERE_DI;영향권 편입;Add to Sphere;Ajouter 쬦la sph쬦e;Zu Einflusssph쬦e hinzuf쬦en;;A쬦dir a la esfera;;;;;;;;x;;;;;;;;;;;;;;;;;
ADDTOSPHERE_OTHER_ACCEPT_1;쬨$RECIPIENT$쬦;쬨$RECIPIENT$쬦 ;쬨$RECIPIENT$쬦;;쬨$RECIPIENT$쬦;;;;;;;;;x;;;;;;;;;;;;;;;;
ADDTOSPHERE_OTHER_ACCEPT_2;$MONARCHTITLE$, 쬨$ACTOR$쬦의이(가);$MONARCHTITLE$, we heard news that;$MONARCHTITLE$, il para쬦 que;Wir h쬦ten die Neuigkeit, dass;;$MONARCHTITLE$, nos hemos enterado de que;;;;;;;;;x;;;;;;;;;;;;;;;;
ADDTOSPHERE_OTHER_ACCEPT_3;쬨$RECIPIENT$쬦(을) 영향권에 ;쬨$RECIPIENT$쬦 has been included in the ;쬨$RECIPIENT$쬦 a 쬦쬦inclus 쬦;쬨$RECIPIENT$쬦 in die Einflusssph쬦e;;han agregado a 쬨$RECIPIENT$쬦 a ;;;;;;;;;x;;;;;;;;;;;;;;;;
ADDTOSPHERE_OTHER_ACCEPT_4;편입했습니다.;Sphere of Influence of 쬨$ACTOR$쬦.;la sph쬦e d'influence de 쬨$ACTOR$쬦.;von 쬨$ACTOR$쬦 aufgenommen worden ist.;;la esfera de influencia de 쬨$ACTOR$쬦.;;;;;;;;;x;;;;;;;;;;;;;;;;
ADDTOSPHERE_OTHER_ACCEPT_5;*;*;*;*;*;*;*;;;;;;;x;;;;;;;;;;;;;;;;
ADDTOSPHERE_OTHER_ACCEPT_6;*;*;*;*;*;*;*;;;;;;;x;;;;;;;;;;;;;;;;
ADDTOSPHERE_OTHER_ACCEPT_BTN1;확인;OK;D'accord;OK;OK;;Aceptar;;;;;;;;;x;;;;;;;;;;;;;;;
ADDTOSPHERE_OTHER_ACCEPT_BTN2;확인;OK;D'accord;OK;OK;;Aceptar;;;;;;;;;x;;;;;;;;;;;;;;;
ADDTOSPHERE_OTHER_ACCEPT_BTN3;참조;Go to;Voir;Goto;;Ir all쬦;;;;;;;;x;;;;;;;;;;;;;;;;
ADDTOSPHERE_OTHER_ACCEPT_HEADER;외무부 장관 보고서;The Foreign Minister reports;Le ministre des Affaires 쬦rang쬦es indique :;Der Au쬦nminister berichtet:;;El ministro de exteriores informa;;;;;;;;;x;;;;;;;;;;;;;;;;
ADDTOSPHERE_OTHER_ACCEPT_LOG;$ACTOR$이(가) $RECIPIENT$을(를) 영향권에 편입했습니다.;$ACTOR$ has included $RECIPIENT$ in their Sphere of Influence.;$ACTOR$ a inclus $RECIPIENT$ dans sa sph쬦e d'influence.;$ACTOR$ hat $RECIPIENT$ in seine Einflusssph쬦e aufgenommen.;;$ACTOR$ ha incluido a $RECIPIENT$ en su esfera de influencia.;;;;;;;;;x;;;;;;;;;;;;;;;;
ADDTOSPHERE_OTHER_ACCEPT_SETUP;한 국가가 다른 국가를 영향권에 편입했을 때;When a nation is added to another nation's Sphere of Influence;Si une nation est ajout쬦 쬦la sph쬦e d'influence d'une autre;Wenn eine Nation zur Einflusssph쬦e einer anderen Nation hinzugef쬦t wird.;;Cuando una naci쬦 es a쬦dida a la Esfera de influencia de otra naci쬦;;;;;;;;;x;;;;;;;;;;;;;;;;
ADDTOSPHERE_THEY_ACCEPT_1;쬨$RECIPIENT$쬦;쬨$RECIPIENT$쬦 ;쬨$RECIPIENT$쬦;;쬨$RECIPIENT$쬦;;;;;;;;;x;;;;;;;;;;;;;;;;
ADDTOSPHERE_THEY_ACCEPT_2;$MONARCHTITLE$, 우리나라가;$MONARCHTITLE$, we have included;$MONARCHTITLE$, nous avons inclus;Wir haben;;$MONARCHTITLE$, hemos agregado a;;;;;;;;;x;;;;;;;;;;;;;;;;
ADDTOSPHERE_THEY_ACCEPT_3;쬨$RECIPIENT$쬦을(를) 영향권에 편입했습니다.;쬨$RECIPIENT$쬦 in our Sphere of Influence.;쬨$RECIPIENT$쬦 쬦notre sph쬦e d'influence.;쬨$RECIPIENT$쬦 in unsere Einflusssph쬦e aufgenommen.;;쬨$RECIPIENT$쬦 a nuestra esfera de influencia.;;;;;;;;;x;;;;;;;;;;;;;;;;
ADDTOSPHERE_THEY_ACCEPT_4;*;*;*;*;*;*;*;;;;;;;x;;;;;;;;;;;;;;;;
ADDTOSPHERE_THEY_ACCEPT_5;*;*;*;*;*;*;*;;;;;;;x;;;;;;;;;;;;;;;;
ADDTOSPHERE_THEY_ACCEPT_6;*;*;*;*;*;*;*;;;;;;;x;;;;;;;;;;;;;;;;
ADDTOSPHERE_THEY_ACCEPT_BTN1;확인;OK;D'accord;OK;OK;;Aceptar;;;;;;;;;x;;;;;;;;;;;;;;;
ADDTOSPHERE_THEY_ACCEPT_BTN2;확인;OK;D'accord;OK;OK;;Aceptar;;;;;;;;;x;;;;;;;;;;;;;;;
ADDTOSPHERE_THEY_ACCEPT_BTN3;참조;Go to;Voir;Goto;;Ir all쬦;;;;;;;;x;;;;;;;;;;;;;;;;
ADDTOSPHERE_THEY_ACCEPT_HEADER;외무부 장관 보고서;The Foreign Minister reports;Le ministre des Affaires 쬦rang쬦es indique :;Der Au쬦nminister berichtet:;;El ministro de exteriores informa;;;;;;;;;x;;;;;;;;;;;;;;;;
ADDTOSPHERE_THEY_ACCEPT_LOG;우리나라가 $RECIPIENT$을(를) 영향권에 편입했습니다.;We have included $RECIPIENT$ in our Sphere of Influence.;Nous avons inclus $RECIPIENT$ dans notre sph쬦e d'influence.;Wir haben $RECIPIENT$ in unsere Einflusssph쬦e aufgenommen.;;Hemos incluido a $RECIPIENT$ en nuestra esfera de influencia.;;;;;;;;;x;;;;;;;;;;;;;;;;
ADDTOSPHERE_THEY_ACCEPT_MAP;영향권 편입;Added to Sphere;Ajout쬦쬦la sph쬦e;Zu Einflusssph쬦e hinzugef쬦t;;A쬦dida a la esfera;;;;;;;;;x;;;;;;;;;;;;;;;;
ADDTOSPHERE_THEY_ACCEPT_SETUP;우리나라가 다른 국가를 영향권에 편입했을 때;When we add a nation to our Sphere of Influence;Si nous ajoutons une nation 쬦notre sph쬦e d'influence;Wenn wir eine Nation unserer Einflusssph쬦e hinzuf쬦en.;;Cuando a쬦dimos una naci쬦 a nuestra Esfera de influencia;;;;;;;;;x;;;;;;;;;;;;;;;;
ADDTOSPHERE_WE_ACCEPT_1;쬨$RECIPIENT$쬦;쬨$RECIPIENT$쬦 ;쬨$RECIPIENT$쬦;;쬨$RECIPIENT$쬦;;;;;;;;;x;;;;;;;;;;;;;;;;
ADDTOSPHERE_WE_ACCEPT_2;$MONARCHTITLE$, 우리나라가;$MONARCHTITLE$, we have been included in;$MONARCHTITLE$, nous avons 쬦쬦inclus 쬦Wir wurden;;$MONARCHTITLE$, nos han agregado a;;;;;;;;;x;;;;;;;;;;;;;;;;
ADDTOSPHERE_WE_ACCEPT_3;쬨$ACTOR$쬦의 영향권에 편입됐습니다.;the Sphere of Influence of 쬨$ACTOR$쬦.;la sph쬦e d'influence de 쬨$ACTOR$쬦.;in die Einflusssph쬦e von 쬨$ACTOR$쬦 aufgenommen.;;la esfera de influencia de 쬨$ACTOR$쬦.;;;;;;;;;x;;;;;;;;;;;;;;;;
ADDTOSPHERE_WE_ACCEPT_4;*;*;*;*;*;*;*;;;;;;;x;;;;;;;;;;;;;;;;
ADDTOSPHERE_WE_ACCEPT_5;*;*;*;*;*;*;*;;;;;;;x;;;;;;;;;;;;;;;;
ADDTOSPHERE_WE_ACCEPT_6;*;*;*;*;*;*;*;;;;;;;x;;;;;;;;;;;;;;;;
ADDTOSPHERE_WE_ACCEPT_BTN1;확인;OK;D'accord;OK;OK;;Aceptar;;;;;;;;;x;;;;;;;;;;;;;;;
ADDTOSPHERE_WE_ACCEPT_BTN2;확인;OK;D'accord;OK;OK;;Aceptar;;;;;;;;;x;;;;;;;;;;;;;;;
ADDTOSPHERE_WE_ACCEPT_BTN3;참조;Go to;Voir;Goto;;Ir all쬦;;;;;;;;x;;;;;;;;;;;;;;;;
ADDTOSPHERE_WE_ACCEPT_HEADER;외무부 장관 보고서;The Foreign Minister reports;Le ministre des Affaires 쬦rang쬦es indique :;Der Au쬦nminister berichtet:;;El ministro de exteriores informa;;;;;;;;;x;;;;;;;;;;;;;;;;
ADDTOSPHERE_WE_ACCEPT_LOG;$ACTOR$이(가) 우리나라를 영향권에 편입했습니다.;$ACTOR$ has included us in their Sphere of Influence.;$ACTOR$ nous a inclus dans sa sph쬦e d'influence.;$ACTOR$ hat uns in seine Einflusssph쬦e aufgenommen.;;$ACTOR$ nos ha incluido en su esfera de influencia.;;;;;;;;;x;;;;;;;;;;;;;;;;
ADDTOSPHERE_WE_ACCEPT_MAP;영향권 편입;Added to Sphere;Ajout쬦쬦la sph쬦e;Zu Einflusssph쬦e hinzugef쬦t;;A쬦dida a la esfera;;;;;;;;;x;;;;;;;;;;;;;;;;
ADDTOSPHERE_WE_ACCEPT_SETUP;한 국가가 우리나라를 영향권에 편입했을 때;When we are added to a nation's Sphere of Influence;Si nous sommes ajout쬦 쬦la sph쬦e d'influence d'une nation;Wenn wir zur Einflusssph쬦e einer Nation hinzugef쬦t werden.;;Cuando somos a쬦didos a la Esfera de influencia de una naci쬦;;;;;;;;;x;;;;;;;;;;;;;;;;
ADD_ACCEPTED_CULTURE; 수용 문화: + 쬨$CULTURE$쬦\n;쬨$CULTURE$쬦 added as accepted culture.\n;쬨$CULTURE$쬦 ajout쬦en tant que culture accept쬦.\n;쬨$CULTURE$쬦 als akzeptierte Kultur hinzugef쬦t.\n;;La cultura 쬨$CULTURE$쬦 se ha a쬦dido como cultura aceptada.\n;;;;;;;;;x;;;;;;;;;;;;;;;;
ADD_BUILDING; 쬨$WHERE$쬦: + 쬨$NAME$쬦\n;Gain 쬨$NAME$쬦 in 쬨$WHERE$쬦.\n;Obtention de 쬨$NAME$쬦 쬦쬨$WHERE$쬦.\n;쬨$NAME$쬦 in 쬨$WHERE$쬦 erhalten.\n;nie b쬦zie d퀅풽j;Gana 쬒$NAME$쬦 en 쬨$WHERE$쬦.\n;cessa di essere;m쬦 nem az;u쬦nebude;;;;;;x;;;;;;;;;;;;;;;;
ADD_BUILDING_EFFECT; 쬨$PROVINCE$쬦: + 쬨$BUILDING$쬦(쬨$VALUE$쬦단계)\n;Gain a 쬨$BUILDING$쬦 with level 쬨$VALUE$쬦 in 쬨$PROVINCE$쬦.\n;Gain d'un b쬦iment 쬨$BUILDING$쬦 de niveau 쬨$VALUE$쬦 en 쬨$PROVINCE$쬦.\n;Bau von 쬨$BUILDING$쬦 der Stufe 쬨$VALUE$쬦 in 쬨$PROVINCE$쬦.\n;;Gana un 쬨$BUILDING$쬦 con nivel 쬨$VALUE$쬦 en 쬨$PROVINCE$쬦.\n;;;;;;;;;x;;;;;;;;;;;;;;;;
ADD_CRIME; 범죄: + 쬨$NAME$쬦\n;Gain 쬨$NAME$쬦.\n;Obtention de 쬨$NAME$쬦.\n;Erhaltung von 쬨$NAME$쬦.\n;;Obtienes 쬨$NAME$쬦.\n;;;;;;;;x;;;;;;;;;;;;;;;;;
ADD_CRUDE_OIL_EFFECT; 원유: + 쬒$VALUE$쬦\n;Gain 쬒$VALUE$쬦 crude oil쬦.\n;Gain de 쬒$VALUE$쬦 en p쬦role non raffin蓼W.\n;Erlangt 쬒$VALUE$쬦 an Roh쬦 쬦.\n;;Gana 쬒$VALUE$쬦 crudo쬦.\n;;;;;;;;;x;;;;;;;;;;;;;;;;
ADD_DISSENT_EFFECT; 이견: + 쬒$VALUE$쬦\n;Gain 쬟$VALUE$쬦 in dissent쬦.\n;Augmentation de 쬟$VALUE$쬦 de dissidence쬦.\n;Unmut um 쬟$VALUE$쬦 gesteigert쬦.\n;;Gana 쬟$VALUE$쬦 en disenci쬦쬦.\n;;;;;;;;;x;;;;;;;;;;;;;;;;
ADD_ENERGY_EFFECT; 에너지: + 쬒$VALUE$쬦\n;Gain 쬒$VALUE$쬦 energy쬦.\n;Gain de 쬒$VALUE$쬦 en 쬦ergie쬦.\n;Erlangt 쬒$VALUE$쬦 an Energie쬦.\n;;Gana 쬒$VALUE$쬦 energ쬦쬦.\n;;;;;;;;;x;;;;;;;;;;;;;;;;
ADD_METAL_EFFECT; 강철: + 쬒$VALUE$쬦\n;Gain 쬒$VALUE$쬦 metal쬦.\n;Gain de 쬒$VALUE$쬦 en m쬦aux쬦.\n;Erlangt 쬒$VALUE$쬦 an Metallen쬦.\n;;Gana 쬒$VALUE$쬦 metal쬦.\n;;;;;;;;;x;;;;;;;;;;;;;;;;
ADD_MONEY_EFFECT; 돈: + 쬒$VALUE$쬦� \n;Gain 쬒$VALUE$쬦 \n;Gain de 쬒$VALUE$쬦.\n;zahlt 쬟$VALUE$쬦.\n;;Gana 쬒$VALUE$쬦 dinero쬦.\n;;;;;;;;;x;;;;;;;;;;;;;;;;
ADD_NEUTRALITY_EFFECT; 쬨$COUNTRY$쬦의 중립도: + 쬟$VALUE$쬦\n;쬨$COUNTRY$쬦 gains 쬟$VALUE$쬦 in neutrality쬦.\n;La neutralit쬦de 쬨$COUNTRY$쬦 augmente de 쬟$VALUE$쬦쬦.\n;쬨$COUNTRY$쬦 erlangt 쬟$VALUE$쬦 an Neutralit쬦쬦.\n;;쬨$COUNTRY$쬦 gana 쬒$VALUE$쬦 en neutralidad쬦.\n;;;;;;;;;x;;;;;;;;;;;;;;;;
ADD_ORGANISATION_POPULARITY_EFFECT; 쬨$IDEOLOGY$쬦 조직력: + 쬒$ORGANISATION$쬦, 쬨$IDEOLOGY$쬦 인기: +쬒$POPULARITY$쬦\n;쬨$IDEOLOGY$쬦 gains 쬒$ORGANISATION$쬦 in organisation and 쬒$POPULARITY$쬦 in popularity쬦.\n;L'id쬦logie 쬨$IDEOLOGY$쬦 procure un gain de 쬒$ORGANISATION$쬦 en organisation et de 쬒$POPULARITY$쬦 en popularit蓼W.\n;쬨$IDEOLOGY$쬦 erlangt 쬒$ORGANISATION$쬦 an Organisation und 쬒$POPULARITY$쬦 an Beliebtheit쬦.\n;;쬨$IDEOLOGY$쬦 gana 쬒$ORGANISATION$쬦 en organizaci쬦 y 쬒$POPULARITY$쬦 en popularidad쬦.\n;;;;;;;;;x;;;;;;;;;;;;;;;;
ADD_PROVINCE_CRUDE_OIL_EFFECT; 쬨$PROVINCE$쬦의 원유: + 쬒$VALUE$쬦\n;Gain 쬒$VALUE$쬦 crude oil in 쬨$PROVINCE$쬦.\n;Gain de 쬒$VALUE$쬦 en p쬦role non raffin쬦en 쬨$PROVINCE$쬦.\n;쬒$VALUE$쬦 erlangt Roh쬦 in 쬨$PROVINCE$쬦.\n;;Gana 쬒$VALUE$쬦 crudo en 쬨$PROVINCE$쬦.\n;;;;;;;;;x;;;;;;;;;;;;;;;;
ADD_PROVINCE_ENERGY_EFFECT; 쬨$PROVINCE$쬦의 에너지: + 쬒$VALUE$쬦\n;Gain 쬒$VALUE$쬦 energy in 쬨$PROVINCE$쬦.\n;Gain de 쬒$VALUE$쬦 en 쬦ergie en 쬨$PROVINCE$쬦.\n;쬒$VALUE$쬦 erlangt Energie in 쬨$PROVINCE$쬦.\n;;Gana 쬒$VALUE$쬦 energ쬦 en 쬨$PROVINCE$쬦.\n;;;;;;;;;x;;;;;;;;;;;;;;;;
ADD_PROVINCE_METAL_EFFECT; 쬨$PROVINCE$쬦의 강철: + 쬒$VALUE$쬦\n;Gain 쬒$VALUE$쬦 metal in 쬨$PROVINCE$쬦.\n;Gain de 쬒$VALUE$쬦 en m쬦aux en 쬨$PROVINCE$쬦.\n;쬒$VALUE$쬦 erlangt Metalle in 쬨$PROVINCE$쬦.\n;;Gana 쬒$VALUE$쬦 metal en 쬨$PROVINCE$쬦.\n;;;;;;;;;x;;;;;;;;;;;;;;;;
ADD_PROVINCE_MONEY_EFFECT; 쬨$PROVINCE$쬦의 돈: + 쬒$VALUE$쬦� \n;Gain 쬒$VALUE$쬦 쬦in 쬨$PROVINCE$쬦.\n;Gain de 쬒$VALUE$쬦쨎n 쬨$PROVINCE$쬦.\n;쬒$VALUE$쬦 erlangt Geld in 쬨$PROVINCE$쬦.\n;;Gana 쬒$VALUE$쬦 dinero en 쬨$PROVINCE$쬦.\n;;;;;;;;;x;;;;;;;;;;;;;;;;
ADD_PROVINCE_RARE_MATERIALS_EFFECT; 쬨$PROVINCE$쬦의 귀금속: + 쬒$VALUE$쬦\n;Gain 쬒$VALUE$쬦 rare materials in 쬨$PROVINCE$쬦.\n;Gain de 쬒$VALUE$쬦 en mat쬦iaux rares en 쬨$PROVINCE$쬦.\n;쬒$VALUE$쬦 erlangt seltene Materialien in 쬨$PROVINCE$쬦.\n;;Gana 쬒$VALUE$쬦 materiales raros en 쬨$PROVINCE$쬦.\n;;;;;;;;;x;;;;;;;;;;;;;;;;
ADD_PROVINCE_SUPPLIES_EFFECT; 쬨$PROVINCE$쬦의 보급품: + 쬒$VALUE$쬦\n;Gain 쬒$VALUE$쬦 supplies in 쬨$PROVINCE$쬦.\n;Gain de 쬒$VALUE$쬦 en ravitaillements en 쬨$PROVINCE$쬦.\n;쬒$VALUE$쬦 erlangt Nachschub in 쬨$PROVINCE$쬦.\n;;Gana 쬒$VALUE$쬦 suministros en 쬨$PROVINCE$쬦.\n;;;;;;;;;x;;;;;;;;;;;;;;;;
ADD_RARE_MATERIALS_EFFECT; 귀금속: + 쬒$VALUE$쬦\n;Gain 쬒$VALUE$쬦 rare materials쬦.\n;Gain de 쬒$VALUE$쬦 en mat쬦iaux rares쬦.\n;Erlangt 쬒$VALUE$쬦 an seltenen Materialien쬦.\n;;Gana 쬒$VALUE$쬦 materiales raros쬦.\n;;;;;;;;;x;;;;;;;;;;;;;;;;
ADD_RELATIVE_INCOME_EFFECT; 세금 대비 수입: $VALUE$� \n;Treasury: $VALUE$;Tr쬦or :  $VALUE$ 쬦Schatzkammer: $VALUE$쬦;;;;;;;;;;x;;;;;;;;;;;;;;;;
ADD_RULING_PARTY_ORG_EFFECT; 쬨$NAME$쬦 조직력: + 쬨$VALUE$쬦\n;$NAME$ gains 쬨$VALUE$쬦 organisation.;L'organisation de $NAME$ augmente de 쬨$VALUE$쬦.;$NAME$ erlangt 쬨$VALUE$쬦 an Organisation.;;$NAME$ gana 쬨$VALUE$쬦 en organizaci쬦.;;;;;;;;;x;;;;;;;;;;;;;;;;
ADD_RULING_PARTY_POP_EFFECT; 쬨$NAME$쬦 대중성: + 쬨$VALUE$쬦\n;$NAME$ gains 쬨$VALUE$쬦 popularity.\n;La popularit쬦de $NAME$ augmente de 쬨$VALUE$쬦.\n;$NAME$ erlangt 쬨$VALUE$쬦 an Beliebtheit.\n;;$NAME$ gana 쬨$VALUE$쬦 en popularidad.\n;;;;;;;;;x;;;;;;;;;;;;;;;;
ADD_SUB_UNIT_EFFECT; 쬨$WHERE$쬦 소부대: + $UNIT$\n;Get $UNIT$ in 쬨$WHERE$쬦.;Envoyer $UNIT$ vers $WHERE$.;Erh쬦t $UNIT$ in $WHERE$.;Koszt: 쬨$AMOUNT$쬦 dukat쬦 \nCzas: 쬨$TIME$쬦 dni.;Llevar $UNIT$ a 쬨$WHERE$쬦.;Costo: 쬨$AMOUNT$쬦 ducati \nTempo: 쬨$TIME$쬦 Giorni.;K쬦ts쬦: 쬨$AMOUNT$쬦 duk쬦 \nId쬦 쬨$TIME$쬦 nap.;Cena: 쬨$AMOUNT$쬦 duk쬦쬦\nDoba: 쬨$TIME$쬦 dn쬦;;;;;;x;;;;;;;;;;;;;;;;
ADD_SUPPLIES_EFFECT; 보급품: + 쬒$VALUE$쬦\n;Gain 쬒$VALUE$쬦 supplies쬦.\n;Gain de 쬒$VALUE$쬦 en ravitaillement쬦.\n;Erlangt 쬒$VALUE$쬦 an Nachschub쬦.\n;;Gana 쬒$VALUE$쬦 suministros쬦.\n;;;;;;;;;x;;;;;;;;;;;;;;;;
ADD_THREAT_EFFECT; 쬨$TARGET_COUNTRY$쬦에 대한 쬨$COUNTRY$쬦의 위협: + 쬟$VALUE$쬦\n;쬨$COUNTRY$쬦 gains 쬟$VALUE$쬦 threat on 쬨$TARGET_COUNTRY$쬦.\n;La menace de 쬨$COUNTRY$쬦 envers 쬨$TARGET_COUNTRY$쬦 cro쬦 de 쬟$VALUE$쬦.\n;쬨$COUNTRY$쬦 steigert Bedrohung gegen 쬨$TARGET_COUNTRY$쬦 um 쬟$VALUE$쬦.\n;;쬨$COUNTRY$쬦 gana 쬟$VALUE$쬦 amenazando a 쬨$TARGET_COUNTRY$쬦.\n;;;;;;;;;x;;;;;;;;;;;;;;;;
ADD_UNITY_EFFECT; 단결력: + 쬒$VALUE$쬦\n;Gain 쬒$VALUE$쬦 unity쬦.\n;Gain de 쬒$VALUE$쬦 unit쬦쬦.\n;Erlangt 쬒$VALUE$쬦 an Zusammenhalt쬦.\n;;Gana 쬒$VALUE$쬦 unidad쬦.\n ;;;;;;;;;x;;;;;;;;;;;;;;;;
ADD_WARGOAL_DESC;전쟁목표를 추가하려면 전쟁점수가 $COST$ 필요합니다.;Require $COST$ war score to demand;Requiert un score de guerre de $COST$ pour demander;Ben쬦igt zum Einfordern $COST$ Kriegspunkte.;;Hace falta una puntuaci쬦 de guerra de $COST$ para solicitarlo;;;;;;;;;x;;;;;;;;;;;;;;;;
ADD_WARGOAL_EFFECT;해당 전쟁목표를 추가했을 때:;When we add this war goal, we will gain:;Si objectif de guerre ajout쬦 nous aurons :;Wenn wir dieses Kriegsziel hinzuf쬦en, erhalten wir:;;Al a쬦dir este objetivo b쬦ico, obtendremos:;;;;;;;;;x;;;;;;;;;;;;;;;;
ADD_WARGOAL_FAILURE;해당 전쟁목표를 달성하지 못했을 때:;If we fail to achive this war goal, we will gain:;Si objectif de guerre manqu쬦 nous aurons :;Wenn wir dieses Kriegsziel nicht erreichen, erhalten wir:;;Si fracasamos en este objetivo b쬦ico:;;;;;;;;;x;;;;;;;;;;;;;;;;
ADD_WARGOAL_INFAMY;해당 전쟁목표를 달성하지 못하면 쬨악명쬦이 $COST$ 증가합니다.;If we add this war goal to our war, we will gain $COST$ 쬨infamy쬦;Si nous ajoutons cet objectif 쬦notre guerre, nous gagnerons $COST$ en 쬨infamie쬦;Wenn wir unserem Krieg dieses Kriegsziel hinzuf쬦en, bekommen wir $COST$ 쬨Infamie쬦 dazu.;;Si a쬦dimos este objetivo b쬦ico a nuestra guerra ganaremos $COST$ de 쬨infamia쬦;;;;;;;;;x;;;;;;;;;;;;;;;;
ADD_WARGOAL_MILITANCY;해당 전쟁목표를 달성하지 못하면 평균 쬨불만도쬦가 $MILITANCY$ 증가합니다.;If we fail to achive this war goal, our entire population will gain $MILITANCY$ 쬨Militancy쬦;Si nous ne r쬦ssissons pas 쬦atteindre cet objectif de guerre, toute notre population gagnera $MILITANCY$ en 쬨militantisme쬦;Wenn wir dieses Kriegsziel nicht erreichen, bekommt unsere gesamte Bev쬦kerung $MILITANCY$ 쬨Militanz쬦 dazu.;;Si no logramos conseguir este objetivo b쬦ico, toda nuestra poblaci쬦 ganar쬦$MILITANCY$ de 쬨militancia쬦;;;;;;;;;x;;;;;;;;;;;;;;;;
ADD_WARGOAL_PEACE_COST;평화 협상을 요구하려면 전쟁점수가 $COST$ 필요합니다.;Costs $COST$ war score to demand in a peace deal;Co쬦era un score de guerre de $COST$ pour faire une proposition de paix.;Kostet zum Einfordern bei einer Friedensverhandlung $COST$ Kriegspunkte.;;Requiere una puntuaci쬦 de guerra de $COST$ para solicitarlo en un acuerdo de paz;;;;;;;;;x;;;;;;;;;;;;;;;;
ADD_WARGOAL_PRESTIGE;해당 전쟁목표를 달성하면 쬨위신쬦이 $COST$ 증가합니다.;If we achive this war goal, we will gain $COST$ 쬨prestige쬦;Si nous r쬦ssissons 쬦atteindre cet objectif de guerre, nous gagnerons $COST$ en 쬨prestige쬦;Wenn wir dieses Kriegsziel erreichen, bekommen wir $COST$ 쬨Prestige쬦 dazu.;;Si a쬦dimos este objetivo b쬦ico a nuestra guerra ganaremos $COST$ de 쬨prestigio쬦;;;;;;;;;x;;;;;;;;;;;;;;;;
ADD_WARGOAL_SUCCESS;해당 전쟁목표를 달성했을 때:;If we achive this war goal, we will gain:;Si objectif de guerre atteint, nous aurons :;Wenn wir dieses Kriegsziel erreichen, erhalten wir:;;Si logramos este objetivo b쬦ico, obtendremos:;;;;;;;;;x;;;;;;;;;;;;;;;;
ADD_WARGOAL_WARGOAL;전쟁목표: 쬨$GOAL$쬦;War goal: 쬨$GOAL$쬦;Objectif de guerre : 쬨$GOAL$쬦;Kriegsziel: 쬨$GOAL$쬦;;Objetivo b쬦ico: 쬨$GOAL$쬦;;;;;;;;;x;;;;;;;;;;;;;;;;
ADJ_FORT_EXTRA_ATTR;그리고 적대적인 인접 요새로부터 쬟+$VAL$%쬦 오릅니다.;And 쬟+$VAL$%쬦 from hostile adjacent forts.;Et 쬟+$VAL$%쬦 des forts adjacents ennemis.;Und 쬟+$VAL$%쬦 von feindlichen Forts in der N쬦e.;;Y 쬟+$VAL$%쬦 de fuertes hostiles adyacentes.;;;;;;;;;x;;;;;;;;;;;;;;;;
ADL_MORE; 그리고...;&& ....;&& ....;&& ....;;&& ....;;;;;;;;;x;;;;;;;;;;;;;;;;
ADMINISTRATION;행정비;Administration;Administration;Verwaltung;;Administraci쬦;;;;;;;;;x;;;;;;;;;;;;;;;;
ADMINISTRATIVE_TAX_EFFICIENCY;행정비 세금 효율: 쬨$VALUE$쬦%.;Administrative Tax Efficiency: 쬨$VALUE$쬦%;Efficacit쬦fiscale administrative : 쬨$VALUE$쬦%.;Verwaltungseffizienz: 쬨$VALUE$쬦%.;;Eficacia de los impuestos administrativos: 쬨$VALUE$쬦%.;;;;;;;;;x;;;;;;;;;;;;;;;;
ADMIRAL;제독;Admiral;Amiral;Admiral;;Almirante;;;;;;;;;x;;;;;;;;;;;;;;;;
