NOT_IN_ELECTION_CAMPAIGN;선거운동 기간이 아닙니다.;is NOT in an election campaign.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PEACE_WE_DECLINE_2;$ACTOR$의 평화 제안을;We have declined the peace offer from;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PEACE_WE_ACCEPT_2;$ACTOR$의 평화 제안을;We have accepted a peace offer from;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CALCULATED_WARSCORE;평화 제공의 대가: $VAL$;Peace offer value: $VAL$;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CRISIS_BACK_DOWN_WE_DECLINE_2;$ACTOR$의 무례한;We have declined the peace offer from;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HAVE_LESS_VASSALS_THAN; 우리나라에 종속된 속국 < ;Have less vassals than ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BUDGET_ADMIN_EFFICIENCY_DESC2;§Y국가 행정 효율§W는 사회개혁과 관세의 효과를 결정합니다. 또한 총지출은 조직범죄와 싸우는 능력도 높입니다.;Our §Ycountry administrative efficiency§W determines the effectiveness of social reforms and tariffs. Our total spending also increases the ability to fight organized crime.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADM_DESC;관료제를 건강하게 운영하고 유지하도록 도움을 주는 동시에 관세 효율과 주민 승격 속도를 가속화하는데 쓰입니다.;Spending on administration allows your bureaucrats to run and maintain a healthy bureaucracy, increasing our tariff efficiency and the rate of pop promotion.;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NO_POPS_OF_TYPE;국내에 해당 주민 없음;There are no pops of this type in our country.;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NAT_STOCK_DESC;건설, 해군 보급품, 육군 보급품, 해외유지비 지출 등 국가비축량을 채우기 위해 비축품을 구매하는데 쓰입니다.;Costs of trade to fill our national stockpile. Includes spending with construction, naval supplies, land units supplies and overseas maintenance.;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IND_SUP_DESC;공장이 원자재를 구매하거나 노동자들에게 봉급을 지급할 때 지불하는 비용을 국가가 대신 부담하는데 쓰입니다.;Costs of government subsidizing of factories. National cash reserves will be used to help factories buy goods needed and pay worker salaries.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DIST_DEFENCE;군비;Military Spending;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DEFENCE_DESC;병사들과 장교들의 월급을 지불하는데 쓰입니다.;The military spending goes towards paying your soldiers and officers.;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SOCIAL_DESC2;사회개혁의 자금으로 쓰입니다. 이때 분배할 돈의 양은 [SUB_A7]Y국가 행정 효율[SUB_A7]W에 따라 변합니다.;The social spending budget goes towards funding your enacted social reforms. The amount of money to distribute depends on your §Ycountry administrative efficiency§W.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TAX_MIDDLE_DESC;중류층에게 얼마나 세금을 걷을지를 조절합니다. 과도한 세금은 그들의 소비를 줄일 것입니다.;This controls how much of the middle strata's income will be collected as tax. Too heavy taxation will leave them less money to spend on their own needs or businesses.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TARIFFS_DESC;수입품에 대해 추가 비용을 부과하고, 그렇게 생산한 수익금을 국고에 귀속합니다. 음수(-) 관세를 통해 모든 국민들의 수입품 구매를 보조할 수도 있습니다.;Tariffs impose an extra cost on imported goods, with the proceeds going to the national treasury. Negative tariffs can be used to help subsidize imports for anyone in your nation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
precious_metal_desc;금, 은, 다이아몬드, 진주처럼 귀중한 물건들은 다른 상품과 달리 곧바로 국고로 환전됩니다.;Gold, silver, diamonds, pearls and other precious goods are not sold as normal goods but are directly converted to money.;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GOLD;귀금속;Precious Goods;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BUDGET_GOLD_INCOME_DESC;귀금속에게서 거둬들인 수입입니다.;Income from precious goods.;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BUDGET_GOLD;귀금속: §Y$VAL$§W;Precious Goods: §Y$VAL$§W;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EDU_DESC;지식인에게 봉급을 주고 문해율에 영향을 주는데 쓰입니다.;The education budget is used to pay the intellectuals and influence literacy.;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MIL_COST_DESC;건설비, 급여 또는 해외유지비를 제외한 육군 및 해군의 보급에 쓰입니다.;Supply costs for your military, Army and Navy, not including construction costs, salaries or overseas maintenance of provinces.;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STOCKPILE_COST_ESTIMATED;육군, 해군, 건설, 해외 지역 유지비 등에 쓰입니다.\n내일 [SUB_A7]Y예상[SUB_A7]W 비축비:;The National Stockpile consists of the expenses with the Army, Navy, construction budget and the maintenance of overseas provinces.\nWe §Yestimate§! tomorrow's stockpile purchases will cost:;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BUDGET_OVERSEAS;해외유지비;Overseas Maintenance;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BUDGET_CONSUMED_OVERSEAS;해외유지비는 국가비축품으로로 계산하며 내릴 수 없습니다.\n어제 해외상품 소비 예상치:;Overseas Maintenance expenses are calculated with the National Stockpile and can't be lowered.\nEstimated cost of last day's overseas goods consumption:;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BUDGET_CONSUMED_MILITARY;어제 군수품 소비 예상 비용:;Estimated cost of last day's military goods consumption:;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BUDGET_DIPL_DESC;외교 및 평화조약을 통한 다양한 지출/소득입니다.;Costs or profits incurred through diplomacy or peace deals as a result of paid or received reparations.;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
congo_master;콩고의 지배자;Congo Overlord;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DOMINION_OF_NOCOLOR;자치령 - 종주국;Dominion of;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SATELLITE_OF_NOCOLOR;위성국 - 종주국;Satellite of;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUBSTATE_OF_NOCOLOR;속국 - 종주국;Substate of;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HAVE_MORE_NATIONAL_PROVINCES_OCCUPIED_THAN; 국민지역 점령 비율 ≥ ;The percentage of occupied national provinces is greater than: ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HAVE_LESS_NATIONAL_PROVINCES_OCCUPIED_THAN; 국민지역 점령 비율 < ;The percentage of occupied national provinces is less than: ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yes_to_congo;콩고 문제 찬성;Voted Yes in the Congo Question;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NEED_POSITIVE_WARSCORE;전쟁이 잘 풀리지 않고 있습니다. [SUB_A7]R우리나라가 전쟁주도국이 아니라면 전쟁점수는 개별적으로 계산합니다. 다시 말해 전쟁목표 추가는 개별적인 전쟁점수를 따릅니다.[SUB_A7]W;The war is not going well enough. §RIn wars were you are not the war leader, contribution is calculated individually. Even though the total warscore might be positive, what allows you to add or not war goals is your individual warscore - your individual contribution - in this war.§W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WARGOAL_LACK_JINGO;주전주의를 지지하는 주민들의 비율이 $REQUIRED$보다 높아야 합니다. 현재는 $VALUE$%입니다.;We require $REQUIRED$ support for jingoism in our country, but have only $VALUE$. Jingoism represents the Ruler or the Upper House will to extend the war. The higher the jingoism, the more the chances that the necessary actors have the will and/or support to extend the war.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
berlin_conference;베를린 회담;Berlin Conference;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
enforce_conference_decision;회담 집행;Enforce Deliberation;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
enforce_conference_decision_desc;{SUB_A7]Y상대국[SUB_A7]W에게 [SUB_A7]Y강대국[SUB_A7]W의 결정에 따를 것을 요구합니다.;Force a §Ycountry§W to abide to the §YGreat Powers§W deliberation.;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
enforce_conference_decision_short;[SUB_A7]Y강대국[SUB_A7]W의 결정 복종;Abide to the §YGreat Powers§W deliberation.;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
enforce_conference_decision_setup;[SUB_A7]Y상대국[SUB_A7]W에게 [SUB_A7]Y강대국[SUB_A7]W의 결정에 따를 것을 요구합니다.;Force a §Ycountry§W to abide to the §YGreat Powers§W deliberation.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yes_to_congo;콩고 자유국 찬성;Voted Yes for the Congo Free State.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
no_to_congo;콩고 자유국 반대;Votes No for the Congo Free State.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abstained_to_congo;투표 기권;Abstain from Voting.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
admin_spen;인공지능 행정비;AI Administration Spending;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
educational_spen;인공지능 교육비;AI Educational Spending;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
has_siege;포위 상태;Has Siege;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
debt_default_to;채무풀이행;Debt Default To;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
democracy;민주공화제;Republic;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAPMODE_3;반란 위험도;Revolt Risk Mapmode;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAPMODE_11;채집장 생산품;RGO Output Mapmode;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAPMODE_12;인구밀도;Population Density Mapmode;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAPMODE_13;문화;Culture Mapmode;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAPMODE_14;영향권;Sphere of Influence Mapmode;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAPMODE_15;보급 한계;Supply Limit Mapmode;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAPMODE_16;애당심;Party Loyalty Mapmode;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAPMODE_17;순위;Ranking Mapmode;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAPMODE_18;이민;Migrations Mapmode;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAPMODE_20;관계;Relations Mapmode;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAPMODE_21;분쟁;Crises Mapmode;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAPMODE_22;해군;Naval Mapmode;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PV_POP_NATIONALITY;문화;Culture;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POPV_SORT_BY_RR;반군 파벌;Rebel Faction;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NATIONALITY_DISTTITLE;문화;Culture;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TERM_FOR_LIFE;선거를 실시하지 않는 체제입니다.;No Elections in this form of government.;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HAVE_LESS_BADBOY_THAN; 악명 > ;Have less infamy than ;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HAVE_AT_LEAST_ONE_OWNED_NEIGHBORING_PROVINCE; 이하에 해당하는 인접 지역 보유:;Have at least one owned neighboring province such that:;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DONT_HAVE_THE_PROVINCE_MODIFIER; 지역 변경사항 없음;Do NOT have the province modifier ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HAS_NO_NATIONAL_MINORITY; 소수 문화 존재;Has Minorities;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HAS_NOT_NATIONAL_MINORITY; 소수 문화 존재;Has Minorities;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HAS_NATIONAL_MINORITY; 소수 문화 존재;Has Minorities;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
beifaren;화북;North Han;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nanfaren;화남;South Han;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
control_1;구식 피스톤 증기기관;Obsolete Piston Steam Engine;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
control_1_desc;노후화는 물체가 더 이상 제대로 작동하지 않는 현상을 뜻하는 용어입니다. 피스톤 증기기관은 구식으로 전락해 일부 장점을 상실했습니다.;Obsolescence is the state of being which occurs when an object, service, or practice is no longer wanted even though it may still be in good working order. It occurs that Piston Steam Engines have become rather obsolete and lost some of their advantages.;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
control_2;구식 고압력 증기기관;Obsolete High-Pressure Steam Engine;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
control_2_desc;노후화는 물체가 더 이상 제대로 작동하지 않는 현상을 뜻하는 용어입니다. 고압력 증기기관은 구식으로 전락해 일부 장점을 상실했습니다.;Obsolescence is the state of being which occurs when an object, service, or practice is no longer wanted even though it may still be in good working order. It occurs that High-Pressure Steam Engines have become rather obsolete and lost some of their advantages.;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
control_3;구식 복합 증기기관;Obsolete Compound Steam Engine;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
control_3_desc;노후화는 물체가 더 이상 제대로 작동하지 않는 현상을 뜻하는 용어입니다. 복합 증기기관은 구식으로 전락해 일부 장점을 상실했습니다.;Obsolescence is the state of being which occurs when an object, service, or practice is no longer wanted even though it may still be in good working order. It occurs that Compound Steam Engines have become rather obsolete and lost some of their advantages.;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
control_4;구식 증기터빈;Obsolete Steam Turbines;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
control_4_desc;노후화는 물체가 더 이상 제대로 작동하지 않는 현상을 뜻하는 용어입니다. 증기터빈은 구식으로 전락해 일부 장점을 상실했습니다.;Obsolescence is the state of being which occurs when an object, service, or practice is no longer wanted even though it may still be in good working order. It occurs that Steam Turbines have become rather obsolete and lost some of their advantages.;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
acceptable_subsidies_l;보조금 충분;Extended Subsidies;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MONEY_IS_ATLEAST_TRIGGER;돈 ≥ [SUB_A7]Y$VALUE$[SUB_A7]W[SUB_A4] 입니다.\n;Money is at least §Y$VALUE$§W¤.\n;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EFFECT_BUILD_IN_CAPITAL_DESC;[SUB_A7]Y$PROVS$[SUB_A7]W에 [SUB_A7]Y$BLD$[SUB_A7]W을(를) 건설합니다.\n;§Y$BLD$§! construction will take place in: §Y$PROVS$§!\n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD_WARGOAL_PRESTIGE;해당 전쟁목표를 달성하면 [SUB_A7]Y위신[SUB_A7]W이 $COST$ 증가합니다.;If we achieve this war goal, we will gain $COST$ §Yprestige§W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD_WARGOAL_MILITANCY;해당 전쟁목표를 달성하지 못하면 평균 [SUB_A7]Y불만도[SUB_A7]W가 $MILITANCY$ 증가합니다.;If we fail to achieve this war goal, our entire population will gain $MILITANCY$ §YMilitancy§W;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD_WARGOAL_EFFECT;해당 전쟁목표를 추가했을 때:;When we add this war goal, we will gain:;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD_WARGOAL_SUCCESS;해당 전쟁목표를 달성했을 때:;If we achieve this war goal, we will gain:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADD_WARGOAL_FAILURE;해당 전쟁목표를 달성하지 못했을 때:;If we fail to achieve this war goal, we will gain:;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BUY_FROM_STOCKPILE_DESC;주민/공장 비축품 구매 허용\n\n[SUB_A7]Y경고: 구매 및 판매를 수동화한 경우에는 [SUB_A7]R절대[SUB_A7]W 해당 단추를 사용하지 마세요. [SUB_A7]R오직[SUB_A7]W [SUB_A7]R모든[SUB_A7]W 상품에 대해 자동무역을 [SUB_A7]R켠[SUB_A7]W 상태에서만 사용해야 합니다. 그렇게 하지 않으면 국내와 전세계적인 경제 붕괴가 일어날 것입니다. 위험을 감수하고 사용하세요.[SUB_A7]W;Allow pops/factories to buy from country stockpile.\n\n§YNOTE: §RNEVER§W use this button while you are still buying or selling manually. §RONLY§W use it with automatic trade §GON§W for §RALL§W goods.§W §RFailing to do so will cause economy crashes both locally and globally. Use it at your own risk.§W;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
military_political_decision_making;군사정치적 의사결정;;Military-Political Decision-Making;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
